,num_layers,d_model,dff,num_heads,dropout_rate,warmup_steps,batch_size,beta_1,beta_2,epsilon,activation,sequential,val_accuracy
1,2,80,1088,14,0.25,7000,112,0.87,0.99,6.80412907253837e-09,relu,False,0.35915169119834905
6,3,48,576,13,0.25,5500,96,0.875,0.97,5.939216805145092e-08,swish,False,0.39465191960334706
4,1,160,1024,8,0.25,6000,112,0.8025,0.96,5.3349154247240776e-09,relu,False,0.39972338080406106
3,3,16,896,8,0.15,2000,48,0.8325,0.975,1.2258970991327853e-09,relu,True,0.41493776440620406
7,4,160,896,12,0.225,6500,80,0.865,0.965,2.3813870088803253e-09,relu,True,0.42508068680763206
0,1,112,1216,13,0.17500000000000002,4000,96,0.8975000000000001,0.975,1.2358203775801931e-09,relu,True,0.43015214800834606
9,2,176,1280,13,0.2,2000,80,0.875,0.97,1.9812108579202483e-08,swish,True,0.431074231863021
2,3,16,1024,11,0.125,3000,32,0.78,0.96,1.4733180084268121e-09,relu,False,0.44352236390113803
5,3,112,960,13,0.2,6000,96,0.75,0.965,2.5171031160942224e-07,swish,False,0.44444444775581304
8,1,192,1024,13,0.2,2000,16,0.74,0.9550000000000001,1.3799105735004158e-07,swish,False,0.45965883135795504
